 | 115  | Rotom-Wash         |  0.57708% | 1709   |  0.577% | 495    |  1.041% |
 | 116  | Chatot             |  0.37414% | 1108   |  0.374% | 485    |  1.020% |
 | 117  | Nidoking           |  0.42648% | 1263   |  0.426% | 471    |  0.990% |
 | 118  | Hydreigon          |  0.53690% | 1590   |  0.537% | 470    |  0.988% |
 | 119  | Klefki             |  0.48760% | 1444   |  0.488% | 441    |  0.927% |
 | 120  | Keldeo             |  0.50448% | 1494   |  0.504% | 438    |  0.921% |
 | 121  | Volcarona          |  0.48591% | 1439   |  0.486% | 434    |  0.913% |
 | 122  | Exploud            |  0.35928% | 1064   |  0.359% | 400    |  0.841% |
 | 123  | Pineco             |  0.28263% | 837    |  0.283% | 400    |  0.841% |
 | 124  | Diggersby          |  0.33227% | 984    |  0.332% | 398    |  0.837% |
 | 125  | Emboar             |  0.26406% | 782    |  0.264% | 388    |  0.816% |
 | 126  | Cofagrigus         |  0.26203% | 776    |  0.262% | 386    |  0.812% |
 | 127  | Kingdra            |  0.30931% | 916    |  0.309% | 374    |  0.786% |
 | 128  | Torkoal            |  0.36064% | 1068   |  0.361% | 367    |  0.772% |
 | 129  | Latias             |  0.46160% | 1367   |  0.462% | 354    |  0.744% |
 | 130  | Manaphy            |  0.30391% | 900    |  0.304% | 353    |  0.742% |
 | 131  | Crawdaunt          |  0.33092% | 980    |  0.331% | 348    |  0.732% |
 | 132  | Rotom-Heat         |  0.28736% | 851    |  0.287% | 347    |  0.730% |
 | 133  | Thundurus          |  0.37110% | 1099   |  0.371% | 339    |  0.713% |
 | 134  | Skarmory           |  0.30998% | 918    |  0.310% | 339    |  0.713% |
 | 135  | Chesnaught         |  0.30087% | 891    |  0.301% | 338    |  0.711% |
 | 136  | Electivire         |  0.33362% | 988    |  0.334% | 336    |  0.706% |
 | 137  | Dunsparce          |  0.18133% | 537    |  0.181% | 333    |  0.700% |
 | 138  | Houndoom           |  0.39913% | 1182   |  0.399% | 332    |  0.698% |
 | 139  | Eelektross         |  0.27115% | 803    |  0.271% | 328    |  0.690% |
 | 140  | Mandibuzz          |  0.29682% | 879    |  0.297% | 328    |  0.690% |
 | 141  | Jolteon            |  0.37178% | 1101   |  0.372% | 324    |  0.681% |
 | 142  | Glalie             |  0.29850% | 884    |  0.299% | 321    |  0.675% |
