 | 108  | Skarmory           |  2.12092% | 3087   |  2.121% | 2469   |  2.347% |
 | 109  | Swampert           |  2.11955% | 3085   |  2.120% | 2490   |  2.367% |
 | 110  | Qwilfish           |  2.11405% | 3077   |  2.114% | 2488   |  2.365% |
 | 111  | Deoxys-Attack      |  1.99382% | 2902   |  1.994% | 2006   |  1.907% |
 | 112  | Mewtwo             |  1.96908% | 2866   |  1.969% | 1843   |  1.752% |
 | 113  | Krookodile         |  1.96771% | 2864   |  1.968% | 2192   |  2.083% |
 | 114  | Electivire         |  1.94916% | 2837   |  1.949% | 1948   |  1.851% |
 | 115  | Probopass          |  1.94778% | 2835   |  1.948% | 2212   |  2.102% |
 | 116  | Rotom-Wash         |  1.94176% | 2827   |  1.942% | 2251   |  2.139% |
 | 117  | Crawdaunt          |  1.94160% | 2826   |  1.942% | 1882   |  1.789% |
 | 118  | Pawniard           |  1.93542% | 2817   |  1.935% | 1980   |  1.882% |
 | 119  | Azumarill          |  1.92855% | 2807   |  1.929% | 2013   |  1.913% |
 | 120  | Golurk             |  1.87908% | 2735   |  1.879% | 2121   |  2.016% |
 | 121  | Landorus-Therian   |  1.86946% | 2721   |  1.869% | 2202   |  2.093% |
 | 122  | Magnezone          |  1.86946% | 2721   |  1.869% | 1996   |  1.897% |
 | 123  | Lanturn            |  1.85091% | 2694   |  1.851% | 2049   |  1.947% |
 | 124  | Scolipede          |  1.84541% | 2686   |  1.845% | 1837   |  1.746% |
 | 125  | Samurott           |  1.82892% | 2662   |  1.829% | 1857   |  1.765% |
 | 126  | Rotom-Heat         |  1.82549% | 2657   |  1.825% | 2139   |  2.033% |
 | 127  | Ferroseed          |  1.81999% | 2649   |  1.820% | 2237   |  2.126% |
 | 128  | Galvantula         |  1.81999% | 2649   |  1.820% | 2075   |  1.972% |
 | 129  | Klinklang          |  1.81450% | 2641   |  1.814% | 1901   |  1.807% |
 | 130  | Volcarona          |  1.81106% | 2636   |  1.811% | 1745   |  1.658% |
 | 131  | Noivern            |  1.80213% | 2623   |  1.802% | 1829   |  1.738% |
 | 132  | Rhydon             |  1.79663% | 2615   |  1.797% | 1982   |  1.884% |
 | 133  | Rotom              |  1.79389% | 2611   |  1.794% | 2024   |  1.924% |
 | 134  | Keldeo             |  1.77396% | 2582   |  1.774% | 1786   |  1.697% |
 | 135  | Cacturne           |  1.76984% | 2576   |  1.770% | 1872   |  1.779% |
 | 136  | Raikou             |  1.76572% | 2570   |  1.766% | 1906   |  1.811% |
 | 137  | Mismagius          |  1.76572% | 2570   |  1.766% | 1928   |  1.832% |
 | 138  | Blastoise          |  1.76503% | 2569   |  1.765% | 1966   |  1.868% |
 | 139  | Gurdurr            |  1.75541% | 2555   |  1.755% | 1899   |  1.805% |
 | 140  | Omastar            |  1.75198% | 2550   |  1.752% | 1973   |  1.875% |
 | 141  | Smeargle           |  1.74304% | 2537   |  1.743% | 2164   |  2.057% |
 | 142  | Liepard            |  1.73755% | 2529   |  1.738% | 1817   |  1.727% |
 | 143  | Bisharp            |  1.73496% | 2526   |  1.735% | 1643   |  1.562% |
 | 144  | Slowbro            |  1.72999% | 2518   |  1.730% | 1817   |  1.727% |
 | 145  | Carbink            |  1.72587% | 2512   |  1.726% | 1895   |  1.801% |
 | 146  | Mesprit            |  1.72518% | 2511   |  1.725% | 1878   |  1.785% |
 | 147  | Uxie               |  1.72243% | 2507   |  1.722% | 1939   |  1.843% |
 | 148  | Conkeldurr         |  1.71762% | 2500   |  1.718% | 1803   |  1.714% |
 | 149  | Hariyama           |  1.71556% | 2497   |  1.716% | 1936   |  1.840% |
 | 150  | Steelix            |  1.71556% | 2497   |  1.716% | 2038   |  1.937% |
 | 151  | Hippowdon          |  1.71350% | 2494   |  1.713% | 2061   |  1.959% |
 | 152  | Goodra             |  1.71350% | 2494   |  1.713% | 1704   |  1.619% |
 | 153  | Primeape           |  1.70800% | 2486   |  1.708% | 1815   |  1.725% |
 | 154  | Heliolisk          |  1.70732% | 2485   |  1.707% | 1864   |  1.772% |
 | 155  | Weezing            |  1.70113% | 2476   |  1.701% | 1870   |  1.777% |
 | 156  | Talonflame         |  1.69632% | 2469   |  1.696% | 1744   |  1.658% |
 | 157  | Sylveon            |  1.69564% | 2468   |  1.696% | 1680   |  1.597% |
 | 158  | Lilligant          |  1.69083% | 2461   |  1.691% | 1663   |  1.581% |
 | 159  | Granbull           |  1.68945% | 2459   |  1.689% | 1728   |  1.642% |
 | 160  | Exeggutor          |  1.68739% | 2456   |  1.687% | 1652   |  1.570% |
 | 161  | Diggersby          |  1.68586% | 2454   |  1.686% | 1660   |  1.578% |
 | 162  | Basculin           |  1.68464% | 2452   |  1.685% | 1696   |  1.612% |
 | 163  | Venomoth           |  1.66541% | 2424   |  1.665% | 1665   |  1.582% |
 | 164  | Trevenant          |  1.66266% | 2420   |  1.663% | 1809   |  1.719% |
 | 165  | Salamence          |  1.66128% | 2418   |  1.661% | 1601   |  1.522% |
 | 166  | Rotom-Fan          |  1.65854% | 2414   |  1.659% | 1834   |  1.743% |
 | 167  | Arbok              |  1.65785% | 2413   |  1.658% | 1625   |  1.544% |
